macro_topic_id,macro_topic,speech_count,top_keywords_tfidf
1,Macro-Topic 1,1395,මෙගාවොට්; තෙල් ටැංකි; වැය පරතරය; සූර්ය; lng; පුනර්ජනනීය; බලාගාර; ණය ප්‍රමාණය; ආර්ථික වර්ධන; විදුලිබල මණ්ඩලයේ
5,Macro-Topic 5,852,ජල යෝජනා; රු මිලියන; ආබාධ; සීමා නිර්ණය; රු; සමෘද්ධිය; ලේකම් කොට්ඨාස; අස්වැසුම; සමෘද්ධි; ආපදා
2,Macro-Topic 2,738,பிரதமர்; பாதிக்கப்பட்ட; தயவுசெய்து; விடுதலை; அதேநேரம்; சமூகம்; போதைப்பொருள்; உற்பத்தி; தொல்பொருள்; பில்லியன்
4,Macro-Topic 4,736,කිලෝවක් රුපියල්; සෙස්; ගම්මිරිස්; තේ කර්මාන්තය; කුඩා තේ; කිලෝව රුපියල්; කිලෝග්‍රෑම්; තේ වතු; කිලෝව; කන්නයේ
7,Macro-Topic 7,724,පො උසස්; පෙර පාසල්; විදුහල්පති; පො; විද්‍යාල ප්‍රතිපාදන; උසස් විභාගය; විභාගයේ; ජාතික පාසල්; විදුහල්පතිවරු; අපොස
11,Macro-Topic 11,685,nmra; බෙහෙත; රජයේ වෛද්‍ය; ඖෂධ නියාමන; මාත්‍රාව; ආයුර්වේද; නෙවිල් ප්‍රනාන්දු; ගිලන් රථ; වෛද්‍යවරුන්ට; ඩෙංගු
14,Macro-Topic 14,653,අලින්; මිනිස් ගැටුම; වැටවල්; අලි මිනිස්; අභය; ප්ලාස්ටික්; වනාන්තර; lrc; සංරක්ෂණ දෙපාර්තමේන්තුව; වනජීවී
8,Macro-Topic 8,568,දෙවන ආණ්ඩුක්‍රම; විසි දෙවන; රාජාසන; පාක්ෂික ආණ්ඩුවක්; ව්‍යවස්ථා සංශෝධනයේ; ජනාධිපති ක්‍රමය; විධායක ජනාධිපති; හදිසි නීතිය; ක්‍රමය අහෝසි; සර්ව පාක්ෂික
26,Macro-Topic 26,563,මහාධිකරණ; අපරාධ නඩු; රස; බන්ධනාගාරගත; අර්ජුන; ඇබ්බැහි; මහේන්ද්‍රන්; data; பொலிஸ்; දූෂණ විරෝධී
0,Macro-Topic 0,509,ජනතා නිදහස්; එක්සත් ජනතා; විශ්වාසභංග; විශ්වාස භංග; භංග; වාචික පිළිතුරු; ව්‍යවස්ථාදායක; භංග යෝජනාවක්; සන්ධානයේ; තේරීම්
15,Macro-Topic 15,481,නිවන් සුව; මැතිතුමාගේ අභාවය; චන්ද්‍ර සිරි; වි මු; මු බණ්ඩාර; අභාවය ශෝකය; කේ පී; එල්ලාවල; සුව ප්‍රාර්ථනා; සමසමාජ
17,Macro-Topic 17,439,රංජිත් සොයිසා; සහරාන්; අන්තවාදය; පාස්කු ප්‍රහාරයට; කොමිෂන් වාර්තාවේ; කතෝලික; ඉරිදා ප්‍රහාරය; සොයිසා; බුද්ධි අංශ; ත්‍රස්ත
6,Macro-Topic 6,424,රජයේ ගිණුම්; වත්කම් බැරකම්; බැරකම්; පෙත්සම්; කාර්ය සාධන; බැඳුම්කර වංචාව; පඩි වැඩි; බැඳුම්කර; finance; ගිණුම්
