micro_topic_id,macro_topic_id,micro_topic_size,macro_topic_size,macro_label_if_available,top_keywords_if_available,representative_speech_id,cumulative_mass
1,15,52,52,Macro-Topic 15,නිවන් සුව; මැතිතුමාගේ අභාවය; චන්ද්‍ර සිරි; වි මු; මු බණ්ඩාර; අභාවය ශෝකය; කේ පී; එල්ලාවල,SP_07318,0.51060798
16,21,90,90,Macro-Topic 21,දියර කිරි; කිරි පිටි; දියර; හරක්; කිරිපිටි; ආනයනික; පිටි; ස්වයංපෝෂිත,SP_01325,0.33177644
22,19,229,229,Macro-Topic 25,ක්‍රිකට් ආයතනය; ක්‍රිකට් ආයතනයේ; ලංකා ක්‍රිකට්; ක්‍රීඩාවේ; ක්‍රීඩකයන්; icc; ක්‍රීඩාවට; cricket,SP_00015,0.14930336
24,7,74,128,Macro-Topic 16,අමරකීර්ති අතුකෝරළ; අතුකෝරළ; අමරකීර්ති; family; නිවන් සුව; commonwealth; late; royal,SP_05804,0.39550348
44,29,60,60,Macro-Topic 29,පුරාවිද්‍යා; කසළ; ත්‍රිපෝෂ; මන්දපෝෂණය; දහම්; කුණු; ළමා; කාන්තාවන්ට,SP_00342,0.45709310
49,16,58,464,Macro-Topic 7,පො උසස්; පෙර පාසල්; විදුහල්පති; පො; විද්‍යාල ප්‍රතිපාදන; උසස් විභාගය; විභාගයේ; ජාතික පාසල්,SP_01305,0.47577581
50,26,120,120,Macro-Topic 27,බහුදින; ධීවරයන්ට; ධීවර වරාය; යාත්‍රා; මත්ස්‍ය; ධීවර කර්මාන්තය; ධීවර; භූමිතෙල්,SP_00116,0.23385054
66,5,94,421,Macro-Topic 2,பிரதமர்; பாதிக்கப்பட்ட; தயவுசெய்து; விடுதலை; அதேநேரம்; சமூகம்; போதைப்பொருள்; உற்பத்தி,SP_00427,0.31721026
71,28,66,66,Macro-Topic 28,කම්කරුවන්ට; වතු සමාගම්; වැටුප රුපියල්; වතු කම්කරු; කුඩා තේ; වතුකරයේ; වතුකරයේ ජනතාව; වතු හිමියන්,SP_01566,0.41735275
76,12,180,575,Macro-Topic 11,nmra; බෙහෙත; රජයේ වෛද්‍ය; ඖෂධ නියාමන; මාත්‍රාව; ආයුර්වේද; නෙවිල් ප්‍රනාන්දු; ගිලන් රථ,SP_05587,0.21231792
80,22,62,62,Macro-Topic 10,ශම්; සමුපකාර ව්‍යාපාරය; ක්ෂුද්‍ර මූල්‍ය; සමුපකාර සමිති; කම්; ඍණ; සමුපකාර; ක්ෂුද්‍ර,SP_06455,0.43761875
83,5,107,421,Macro-Topic 2,பிரதமர்; பாதிக்கப்பட்ட; தயவுசெய்து; விடுதலை; அதேநேரம்; சமூகம்; போதைப்பொருள்; உற்பத்தி,SP_00077,0.26899937
84,5,53,421,Macro-Topic 2,பிரதமர்; பாதிக்கப்பட்ட; தயவுசெய்து; விடுதலை; அதேநேரம்; சமூகம்; போதைப்பொருள்; உற்பத்தி,SP_01059,0.50649145
92,12,395,575,Macro-Topic 11,nmra; බෙහෙත; රජයේ වෛද්‍ය; ඖෂධ නියාමන; මාත්‍රාව; ආයුර්වේද; නෙවිල් ප්‍රනාන්දු; ගිලන් රථ,SP_00009,0.03126979
93,16,209,464,Macro-Topic 7,පො උසස්; පෙර පාසල්; විදුහල්පති; පො; විද්‍යාල ප්‍රතිපාදන; උසස් විභාගය; විභාගයේ; ජාතික පාසල්,SP_00646,0.18334389
95,23,103,103,Macro-Topic 22,සයිටම්; ආරක්ෂක විශ්ව; රජයේ වෛද්‍ය; saitm; කොතලාවල; ශික්ෂණ; නෙවිල් ප්‍රනාන්දු; නෙවිල්,SP_00069,0.29401520
101,16,113,464,Macro-Topic 7,පො උසස්; පෙර පාසල්; විදුහල්පති; පො; විද්‍යාල ප්‍රතිපාදන; උසස් විභාගය; විභාගයේ; ජාතික පාසල්,SP_00000,0.25189994
102,16,84,464,Macro-Topic 7,පො උසස්; පෙර පාසල්; විදුහල්පති; පො; විද්‍යාල ප්‍රතිපාදන; උසස් විභාගය; විභාගයේ; ජාතික පාසල්,SP_00031,0.35243825
105,5,107,421,Macro-Topic 2,பிரதமர்; பாதிக்கப்பட்ட; தயவுசெய்து; விடுதலை; அதேநேரம்; சமூகம்; போதைப்பொருள்; உற்பத்தி,SP_01321,0.27746992
107,5,60,421,Macro-Topic 2,பிரதமர்; பாதிக்கப்பட்ட; தயவுசெய்து; விடுதலை; அதேநேரம்; சமூகம்; போதைப்பொருள்; உற்பத்தி,SP_00657,0.46184294
118,2,221,283,Macro-Topic 3,ශ්‍රීලන්කන් ගුවන්; වරාය නගරය; පර්යන්තය; ශ්‍රීලන්කන්; හම්බන්තොට වරාය; ටෙලිකොම්; මත්තල; සිවිල් ගුවන්,SP_00008,0.16679861
120,2,62,283,Macro-Topic 3,ශ්‍රීලන්කන් ගුවන්; වරාය නගරය; පර්යන්තය; ශ්‍රීලන්කන්; හම්බන්තොට වරාය; ටෙලිකොම්; මත්තල; සිවිල් ගුවන්,SP_00209,0.44252692
123,24,389,389,Macro-Topic 23,සීමා නිර්ණය; මැතිවරණය පවත්වන්න; මැතිවරණ කොමිෂන්; පළාත් මැතිවරණය; ඡන්ද අයිතිය; මැතිවරණ ක්‍රමය; මැතිවරණ කොමිසම; නාම යෝජනා,SP_00074,0.06206460
125,3,55,237,Macro-Topic 4,කිලෝවක් රුපියල්; සෙස්; ගම්මිරිස්; තේ කර්මාන්තය; කුඩා තේ; කිලෝව රුපියල්; කිලෝග්‍රෑම්; තේ වතු,SP_00647,0.49366688
129,7,54,128,Macro-Topic 16,අමරකීර්ති අතුකෝරළ; අතුකෝරළ; අමරකීර්ති; family; නිවන් සුව; commonwealth; late; royal,SP_04473,0.50229576
131,11,59,257,Macro-Topic 5,ජල යෝජනා; රු මිලියන; ආබාධ; සීමා නිර්ණය; රු; සමෘද්ධිය; ලේකම් කොට්ඨාස; අස්වැසුම,SP_00115,0.46651362
143,9,84,190,Macro-Topic 19,විදේශ සේවා; නියුක්ති; සේවා නියුක්ති; ශ්‍රමිකයන්; විදේශ රැකියා; පලස්තීන; සංචාරක; සංචාරක ව්‍යාපාරය,SP_00117,0.35908803
146,0,52,218,Macro-Topic 0,ජනතා නිදහස්; එක්සත් ජනතා; විශ්වාසභංග; විශ්වාස භංග; භංග; වාචික පිළිතුරු; ව්‍යවස්ථාදායක; භංග යෝජනාවක්,SP_00979,0.51472451
154,9,106,190,Macro-Topic 19,විදේශ සේවා; නියුක්ති; සේවා නියුක්ති; ශ්‍රමිකයන්; විදේශ රැකියා; පලස්තීන; සංචාරක; සංචාරක ව්‍යාපාරය,SP_00712,0.28586130
155,1,309,667,Macro-Topic 1,මෙගාවොට්; තෙල් ටැංකි; වැය පරතරය; සූර්ය; lng; පුනර්ජනනීය; බලාගාර; ණය ප්‍රමාණය,SP_00146,0.11177961
156,25,68,68,Macro-Topic 20,පලස්තීන; ඊශ්‍රායලය; sovereignty; ත්‍රස්තවාදය වැළැක්වීමේ; ත්‍රස්තවාදය; peace; රණ; ජිනීවා,SP_00308,0.41212793
162,11,64,257,Macro-Topic 5,ජල යෝජනා; රු මිලියන; ආබාධ; සීමා නිර්ණය; රු; සමෘද්ධිය; ලේකම් කොට්ඨාස; අස්වැසුම,SP_00811,0.42764408
168,20,57,488,Macro-Topic 14,අලින්; මිනිස් ගැටුම; වැටවල්; අලි මිනිස්; අභය; ප්ලාස්ටික්; වනාන්තර; lrc,SP_00277,0.48028816
169,20,186,488,Macro-Topic 14,අලින්; මිනිස් ගැටුම; වැටවල්; අලි මිනිස්; අභය; ප්ලාස්ටික්; වනාන්තර; lrc,SP_00349,0.19806840
186,20,245,488,Macro-Topic 14,අලින්; මිනිස් ගැටුම; වැටවල්; අලි මිනිස්; අභය; ප්ලාස්ටික්; වනාන්තර; lrc,SP_00124,0.13117479
189,11,72,257,Macro-Topic 5,ජල යෝජනා; රු මිලියන; ආබාධ; සීමා නිර්ණය; රු; සමෘද්ධිය; ලේකම් කොට්ඨාස; අස්වැසුම,SP_00612,0.40120329
193,11,62,257,Macro-Topic 5,ජල යෝජනා; රු මිලියන; ආබාධ; සීමා නිර්ණය; රු; සමෘද්ධිය; ලේකම් කොට්ඨාස; අස්වැසුම,SP_00825,0.44743509
197,18,57,57,Macro-Topic 18,රිය; ලංකා ගමනාගමන; රු මිලියන; බස් රථ; ධාවනය; ගමනාගමන; රු; දුම්රිය,SP_00882,0.48480051
